Region,Year,Sex,artstart_n,recartage_mean,recartage_sd,recartage_median,recartage_p25,recartage_p75
NA-ACCORD,2016,Male,2352,41.9230442176871,14.1121332841195,40,29.75,53
NA-ACCORD,2016,Female,380,43.7105263157895,11.8993312482248,44,34,53
NA-ACCORD,2017,Male,2271,42.0563628357552,14.4895342080748,39,29,54
NA-ACCORD,2017,Female,336,43,11.4326058976919,42,34,52.25
NA-ACCORD,2018,Male,2219,43.1847679134745,14.4108566233357,41,31,55
NA-ACCORD,2018,Female,377,43.6074270557029,12.1779687721534,43,34,53
NA-ACCORD,2019,Male,1994,43.7046138415246,14.9447387744301,41,31,56
NA-ACCORD,2019,Female,325,42.8153846153846,11.6636137641764,41,34,52
NA-ACCORD,2020,Male,1145,43.2366812227074,15.0341935264275,40,31,55
NA-ACCORD,2020,Female,209,43.9952153110048,12.801178434206,43,33,53
NA-ACCORD,2021,Male,586,39.3890784982935,13.5594474651307,36,29,48.75
NA-ACCORD,2021,Female,180,43.8166666666667,13.6972349695132,42,33,55.25
SA,ALL,ALL,921922,35.5666195187879,9.88476598239769,34,28,41
SA,2006,ALL,25964,36.6889924510861,9.22683291887537,35,30,42
SA,2007,ALL,34613,36.3675786554185,9.35897024632655,35,30,42
SA,2008,ALL,38119,36.6011437865631,9.53332031265689,35,30,42
SA,2009,ALL,45005,36.5064770581047,9.49732660054903,35,30,42
SA,2010,ALL,47574,36.4248328919158,9.59394929976875,35,29,42
SA,2011,ALL,52012,36.4754864262093,9.79459669510224,35,29,42
SA,2012,ALL,50118,36.0898679117283,9.74694607440262,35,29,42
SA,2013,ALL,60928,35.8895253413866,9.79249258911797,34,29,41
SA,2014,ALL,65509,35.3171472622082,9.82900527199963,34,28,41
SA,2015,ALL,65322,35.000275558005,9.86562089151425,33,28,40
SA,2016,ALL,69424,35.273983060613,9.99227448020513,34,28,41
SA,2017,ALL,88072,35.0872354437279,10.0395357769715,34,28,41
SA,2018,ALL,80304,34.7363020522016,10.0167225856664,33,27,40
SA,2019,ALL,63820,35.1486681291131,10.0965127790295,34,27,41
SA,2020,ALL,55967,34.795093537263,9.9357314873172,33,27,40
SA,2021,ALL,40858,34.6928141367664,10.027076823729,33,27,40
SA,2022,ALL,26699,35.7186036930222,10.3614554909092,34,28,42
SA,2023,ALL,11216,36.5920114122682,10.8267227898604,35,28,43
SA,2024,ALL,398,35.4447236180904,10.3120437668224,33.5,28,41
SA,ALL,Male,348158,38.223835155303,9.64263142723398,37,31,44
SA,ALL,Female,573764,33.9542303107201,9.67954436581044,32,27,39
SA,2006,Male,10148,39.0686834844304,9.18091828903166,38,32,44
SA,2006,Female,15816,35.1621143146181,8.92843057427173,34,29,41
SA,2007,Male,13641,38.6033282017447,9.26161238638148,37,32,44
SA,2007,Female,20972,34.9133606713714,9.13276255483909,33,28,40
SA,2008,Male,15070,38.9923689449237,9.4015222441675,38,32,44
SA,2008,Female,23049,35.0377022864333,9.29174968156099,33,28,40
SA,2009,Male,17651,38.8431250354088,9.26661623175228,37,32,44
SA,2009,Female,27354,34.9986839219127,9.33804381848304,33,28,40
SA,2010,Male,18395,38.7187822777929,9.38962555143974,37,32,44
SA,2010,Female,29179,34.9786832996333,9.43839537850624,33,28,40
SA,2011,Male,19776,38.8999292071197,9.55837731972005,37,32,44
SA,2011,Female,32236,34.9881498945279,9.63967145737355,33,28,40
SA,2012,Male,18987,38.661452572813,9.52912730548567,37,32,44
SA,2012,Female,31131,34.5214416498024,9.54323086311644,33,28,40
SA,2013,Male,22690,38.7737329219921,9.54898190581085,37,32,44
SA,2013,Female,38238,34.1780689366599,9.53019727548109,32,27,39
SA,2014,Male,23201,38.3895521744752,9.57355649388904,37,32,44
SA,2014,Female,42308,33.6322917651508,9.55583982756562,32,27,39
SA,2015,Male,23423,38.1071596294241,9.5708955729636,37,31,43
SA,2015,Female,41899,33.263419174682,9.59802322362062,31,26,38
SA,2016,Male,24982,38.1617964934753,9.62206863094086,37,31,44
SA,2016,Female,44442,33.6506682867558,9.82885387822409,32,26,39
SA,2017,Male,32706,37.7570476365193,9.76609096087898,37,31,43
SA,2017,Female,55366,33.5101145107105,9.86383392242228,32,26,39
SA,2018,Male,30133,37.4192745494972,9.77179355090805,36,30,43
SA,2018,Female,50171,33.1248928663969,9.81466019482425,31,26,38
SA,2019,Male,25998,37.5066928225248,9.8188232949261,36,30,43
SA,2019,Female,37822,33.5278144994976,9.96465056275445,32,26,39
SA,2020,Male,21175,37.4251711924439,9.83493018243258,36,30,43
SA,2020,Female,34792,33.1943837663831,9.65204826232759,31,26,38
SA,2021,Male,15140,37.4043593130779,9.83424456810661,36,30,43
SA,2021,Female,25718,33.0965471654094,9.79408334897876,31,26,38
SA,2022,Male,10290,38.5992225461613,10.1443905252708,38,31,45
SA,2022,Female,16409,33.9121823389603,10.0841548411827,32,26,39
SA,2023,Male,4608,39.2280815972222,10.2800728190743,38,32,45
SA,2023,Female,6608,34.7537832929782,10.8191960463941,33,26,41
SA,2024,Male,144,37.5069444444444,9.29921910232122,37,30,43.25
SA,2024,Female,254,34.2755905511811,10.6860902276477,32,26,39
WA,ALL,ALL,42369,37.8142745875522,9.77091442309086,37,30,44
WA,2006,ALL,2244,36.9959893048128,9.18757238661148,36,30,42
WA,2007,ALL,3129,37.0661553211889,9.13691162503187,36,30,42
WA,2008,ALL,3871,36.7191940067166,8.9791570866015,35,30,42
WA,2009,ALL,3663,37.1081081081081,8.99309749855778,36,30,43
WA,2010,ALL,3625,37.3235862068966,9.38141147031226,36,30,43
WA,2011,ALL,3312,37.0072463768116,9.1033501204209,36,30,43
WA,2012,ALL,3267,37.6342209978574,9.46621759705246,36,30,44
WA,2013,ALL,3358,37.6694460988684,9.23449332101994,36,31,43
WA,2014,ALL,2539,38.2485230405672,9.54773544626435,37,31,44
WA,2015,ALL,2283,39.6942619360491,10.2420443213514,38,32,46
WA,2016,ALL,1849,39.9567333693889,10.1577529585783,39,32,47
WA,2017,ALL,1643,40.3414485696896,10.0177506085355,39,33,47
WA,2018,ALL,1175,40.4825531914894,10.4573194511106,40,33,48
WA,2019,ALL,1362,40.3098384728341,10.6514909859468,40,32,47
WA,2020,ALL,1921,37.1712649661635,11.4209386888488,36,28,44
WA,2021,ALL,1532,36.4869451697128,10.9297005128555,34,28,44
WA,2022,ALL,1116,37.3189964157706,11.2973046222248,36,28,44
WA,2023,ALL,474,38.4071729957806,11.8730436787851,37,29,46
WA,2024,ALL,*,*,*,*,*,*
WA,ALL,Male,15331,40.5398212771509,9.87986031600071,40,34,47
WA,ALL,Female,27038,36.2688438493971,9.36267484312964,35,29,42
WA,2006,Male,824,40.8349514563107,8.69236291368216,40,35,46
WA,2006,Female,1420,34.7683098591549,8.72251644449568,33,29,40
WA,2007,Male,1098,41.1885245901639,8.53209797803973,40,36,46
WA,2007,Female,2031,34.8375184638109,8.66822466050881,33,29,39
WA,2008,Male,1258,40.8076311605723,8.349059786378,40,35,46
WA,2008,Female,2613,34.7508610792193,8.60140864568773,33,29,39
WA,2009,Male,1203,41.3773898586866,8.47206749407074,41,36,47
WA,2009,Female,2460,35.020325203252,8.48995252732075,34,29,40
WA,2010,Male,1193,41.6102263202012,9.02400579396653,40,35,47
WA,2010,Female,2432,35.2208059210526,8.82221745730655,34,29,40
WA,2011,Male,1070,41.5,8.38042509599143,41,36,46
WA,2011,Female,2242,34.8630686886708,8.64292294025019,33,29,39
WA,2012,Male,1041,41.4428434197887,9.12682274647927,41,35,47
WA,2012,Female,2226,35.8530997304582,9.09057948269377,34,29,41
WA,2013,Male,1147,41.258064516129,9.25080124369151,41,35,47
WA,2013,Female,2211,35.8077792853912,8.6606538945206,34,30,41
WA,2014,Male,887,41.3754227733935,9.61716300018237,40,35,47
WA,2014,Female,1652,36.569612590799,9.07893224069702,35,30,42
WA,2015,Male,779,43.186136071887,10.1241655385975,43,36,50
WA,2015,Female,1504,37.8856382978723,9.82949550558762,36,31,44
WA,2016,Male,611,43.0081833060556,10.2303757830016,42,36,50
WA,2016,Female,1238,38.4507269789984,9.78080273488934,37,31,45
WA,2017,Male,593,42.5531197301855,9.86946703773569,42,36,49
WA,2017,Female,1050,39.0923809523809,9.88880210640966,38,32,45
WA,2018,Male,440,42.5568181818182,10.2085965321357,43,35,49
WA,2018,Female,735,39.2408163265306,10.4141995595542,38,32,46
WA,2019,Male,509,42.1669941060904,10.9930906629923,42,35,50
WA,2019,Female,853,39.2016412661196,10.2902318021763,39,32,45
WA,2020,Male,995,35.4874371859297,11.6012987965757,33,26,44
WA,2020,Female,926,38.9805615550756,10.9448568747444,38,31,45
