Region,Year,Sex,enroll_n,enrollage_mean,enrollage_sd,enrollage_median,enrollage_p25,enrollage_p75
EA,2014,Male,6437,37.1342240173994,10.1976735916856,35,30,43
EA,2014,Female,10805,32.9285515964831,10.094109382574,30,25,38
EA,2015,Male,5694,37.5691956445381,10.4303688272507,36,30,44
EA,2015,Female,9446,33.2357611687487,10.5328846004841,30,25,39
EA,2016,Male,5403,37.7140477512493,10.3304455424109,36,30,44
EA,2016,Female,8362,33.5776130112413,10.5197095993996,31,25,39
EA,2017,Male,4960,37.9362903225806,10.5274094446465,36,30,44
EA,2017,Female,7703,33.5444631961573,10.6063294806745,31,25,39
EA,2018,Male,4816,38.2730481727575,10.790095277916,37,30,45
EA,2018,Female,7852,33.1383087111564,10.4826694124352,30,25,39
EA,2019,Male,5091,38.6028285209193,10.6397235372345,37,31,45
EA,2019,Female,7995,33.7656035021889,10.7374840066229,31,26,40
EA,2020,Male,4418,38.669760072431,10.8174928971531,37,30,45
EA,2020,Female,7250,33.4531034482759,10.1820953756982,31,26,39
EA,2021,Male,3791,38.8406752835663,10.9976702722542,37,30,45
EA,2021,Female,6149,33.8791673442836,10.710367633435,31,26,40
EA,2022,Male,3124,38.9414212548015,11.1064808168478,37,31,45
EA,2022,Female,7497,31.8087234893958,10.1928424928877,29,24,37
EA,2023,Male,1101,40.1307901907357,10.8951684960284,39,32,47
EA,2023,Female,2278,33.2866549604917,10.5789337967978,31,25,39
NA-ACCORD,ALL,ALL,60680,42.0672544495715,13.1997013401739,42,31,52
NA-ACCORD,2006,ALL,5346,41.5520014964459,11.2335362835512,41,33,49
NA-ACCORD,2007,ALL,5078,41.5356439543127,11.5575910066394,42,33,49
NA-ACCORD,2008,ALL,4879,41.8899364623898,12.1852744517552,42,32,51
NA-ACCORD,2009,ALL,5157,41.4745006786892,12.3908101225256,42,31,50
NA-ACCORD,2010,ALL,5610,41.9718360071301,12.7987811285165,42,31,51
NA-ACCORD,2011,ALL,5124,41.9892661982826,13.0784089373292,42,31,52
NA-ACCORD,2012,ALL,4415,41.9204983012458,13.6282035753904,42,30,52
NA-ACCORD,2013,ALL,4278,41.664095371669,13.565110739609,41,29,52
NA-ACCORD,2014,ALL,4183,41.6155868993545,13.5692589361423,41,29,52
NA-ACCORD,2015,ALL,3929,41.7304657673708,13.9389449443938,41,29,52
NA-ACCORD,2016,ALL,2793,42.7629788757608,14.4187414357207,42,30,54
NA-ACCORD,2017,ALL,2692,43.0438335809807,14.7072614907216,42,30,55
NA-ACCORD,2018,ALL,2718,44.0515084621045,14.6838200337046,43,31,56
NA-ACCORD,2019,ALL,2398,44.2948290241868,14.9580773624577,42,32,56
NA-ACCORD,2020,ALL,1321,43.3913701741105,15.0179352780314,40,31,55
NA-ACCORD,2021,ALL,759,40.5388669301713,14.0009707270679,37,30,51
NA-ACCORD,ALL,Male,51364,42.2207187913714,13.488479344825,42,31,52
NA-ACCORD,ALL,Female,9316,41.2211249463289,11.4415337164802,41,32,49
NA-ACCORD,2006,Male,4444,42.0632313231323,11.3439984241525,42,34,49
NA-ACCORD,2006,Female,902,39.0332594235033,10.3147471670514,39,31,46
NA-ACCORD,2007,Male,4212,41.8376068376068,11.7317330542089,42,33,50
NA-ACCORD,2007,Female,866,40.066974595843,10.5539141835422,40,32,47.75
NA-ACCORD,2008,Male,4022,42.3247140726007,12.4327579457285,43,32,51
NA-ACCORD,2008,Female,857,39.8494749124854,10.7228020569687,39,31,48
NA-ACCORD,2009,Male,4351,41.697770627442,12.6481252836013,42,31,51
NA-ACCORD,2009,Female,806,40.2692307692308,10.8251247277009,40,32,48
NA-ACCORD,2010,Male,4690,42.1859275053305,13.1164857725785,43,31,52
NA-ACCORD,2010,Female,920,40.8804347826087,10.9795956678502,41,32,49
NA-ACCORD,2011,Male,4298,42.1409958120056,13.3910462701376,42,30,52
NA-ACCORD,2011,Female,826,41.1997578692494,11.2874314630128,42,32,50
NA-ACCORD,2012,Male,3824,42.0431485355649,13.8988336901722,42,30,52
NA-ACCORD,2012,Female,591,41.1269035532995,11.7065447603584,41,32,50
NA-ACCORD,2013,Male,3658,41.6946418808092,13.8704888434025,41,29,52
NA-ACCORD,2013,Female,620,41.4838709677419,11.6092018756721,42,32,50
NA-ACCORD,2014,Male,3635,41.5064649243466,13.761617377466,41,29,52
NA-ACCORD,2014,Female,548,42.3394160583942,12.2036998475534,42,33,52
NA-ACCORD,2015,Male,3382,41.6774098166765,14.2701473581248,40,29,53
NA-ACCORD,2015,Female,547,42.0585009140768,11.6906186341439,42,33,50
NA-ACCORD,2016,Male,2419,42.7102108309219,14.7639247164314,41,30,54
NA-ACCORD,2016,Female,374,43.1042780748663,11.9591499912109,43,34,53
NA-ACCORD,2017,Male,2353,43.0471738206545,15.0860593015244,41,29,55
NA-ACCORD,2017,Female,339,43.0206489675516,11.7648125765866,43,34,52
NA-ACCORD,2018,Male,2343,44.2005975245412,15.037836128954,43,31,56
NA-ACCORD,2018,Female,375,43.12,12.2185534384534,42,33,52
NA-ACCORD,2019,Male,2053,44.4252313687287,15.3580682298897,42,31,57
NA-ACCORD,2019,Female,345,43.5188405797101,12.3026428830415,42,33,54
NA-ACCORD,2020,Male,1108,43.1660649819495,15.4138174044201,40,31,56
NA-ACCORD,2020,Female,213,44.5633802816901,12.7298479970985,43,34,54
NA-ACCORD,2021,Male,572,39.3758741258741,13.7661344321143,36,29,48.25
NA-ACCORD,2021,Female,187,44.096256684492,14.1497876764493,42,32.5,57
SA,ALL,ALL,943359,35.1791767503146,9.85274252277964,34,28,41
SA,2006,ALL,36386,36.2162370142362,9.21636559213159,35,30,42
SA,2007,ALL,44412,35.6757407907773,9.34847630431355,34,29,41
SA,2008,ALL,46360,35.9294866264021,9.52489043836219,34,29,41
SA,2009,ALL,53750,35.9,9.53460323064072,34,29,41
SA,2010,ALL,55461,35.7207046392961,9.622401921129,34,29,41
SA,2011,ALL,57260,35.837076493189,9.83522810164209,34,29,41
SA,2012,ALL,54599,35.5348266451767,9.72499392934455,34,28,41
SA,2013,ALL,57493,35.2950098272833,9.87626902255484,34,28,41
SA,2014,ALL,61389,34.7943931323201,9.83102731326084,33,28,40
SA,2015,ALL,62562,34.602314504012,9.8888223505964,33,27,40
SA,2016,ALL,66360,34.9613773357444,9.99931582682781,33,28,41
SA,2017,ALL,80920,34.7916955017301,10.0021950527618,33,27,41
SA,2018,ALL,78331,34.4947083530148,10.0137684842994,33,27,40
SA,2019,ALL,62834,34.627192284432,9.98446263170628,33,27,40
SA,2020,ALL,51338,34.4370057267521,9.86583625367487,33,27,40
