chart,indicator,value,value_lower,value_upper,value_comment,sex,age,year,source_database,notes
"HIV tests conducted and positivity at facility level","Den Facility-Facility All","1156219",,,"validated","All sexes","All ages","2024","Global AIDS Monitoring 2025","1156219"
"HIV tests conducted and positivity at facility level","Per Facility-Facility All","1.4",,,"validated","All sexes","All ages","2024","Global AIDS Monitoring 2025","1.4"
"HIV self-tests","Self Test Distributed-Data Value",,,,"validated","All sexes","All ages","2020","Global AIDS Monitoring 2021",
"HIV self-tests","Self Test Distributed-Data Value",,,,"validated","All sexes","All ages","2023","Global AIDS Monitoring 2024",
"HIV self-tests","Self Test Distributed-Data Value",,,,"validated","All sexes","All ages","2024","Global AIDS Monitoring 2025",
"WHO Integrated HIV RDT forecast","HIV RDT Demand Forecast - Total Volume","1667611.3124597662",,,,,,"2024","EIC and WHO HIV RDT Landscape Report 2024",
"WHO Integrated HIV RDT forecast","HIV RDT Demand Forecast - Total Volume","1702106.048214758",,,,,,"2025","EIC and WHO HIV RDT Landscape Report 2024",
"WHO Integrated HIV RDT forecast","HIV RDT Demand Forecast - Total Volume","1738403.6627058217",,,,,,"2026","EIC and WHO HIV RDT Landscape Report 2024",
"WHO Integrated HIV RDT forecast","HIV RDT Demand Forecast - Total Volume","1784076.33894923",,,,,,"2027","EIC and WHO HIV RDT Landscape Report 2024",
"WHO Integrated HIV RDT forecast","HIV RDT Demand Forecast - Total Volume","1831546.0398557328",,,,,,"2028","EIC and WHO HIV RDT Landscape Report 2024",
"WHO Integrated HIV RDT forecast","HIV RDT Demand Forecast - Total Volume","1875965.3673617616",,,,,,"2029","EIC and WHO HIV RDT Landscape Report 2024",
"WHO Integrated HIV RDT forecast","HIV RDT Demand Forecast - Total Volume","1922409.49794167",,,,,,"2030","EIC and WHO HIV RDT Landscape Report 2024",
"Key Populations","HIV prevalence among sex workers","1.2",,,,,,"2023","UNAIDS KP-Atlas 2025","Source: Behavioral surveillance survey, 2023"
"Key Populations","HIV testing and status awareness among sex workers","7",,,,,,"2023","UNAIDS KP-Atlas 2025","Source: Behavioral surveillenca survey, 2023"
"Key Populations","HIV prevalence among men who have sex with men","7.5",,,,"Males",,"2023","UNAIDS KP-Atlas 2025","Source: Behavioral surveillance survey, 2023"
"Key Populations","HIV testing and status awareness among men who have sex with men","17",,,,"Males",,"2023","UNAIDS KP-Atlas 2025","Source: Behavioral surveillance survey, 2023"
"Key Populations","MSM (Tested in past year)","132800",,,,,,"2015","PEPFAR ROP 2021",
"Key Populations","HIV prevalence among people who inject drugs","29",,,,,,"2015","UNAIDS KP-Atlas 2025","Source: 2015 Integrated HIV Behavioral and Serologic Surveillance (IHBSS)"
"Key Populations","HIV testing and status awareness among people who inject drugs","26.9",,,,,,"2016","UNAIDS KP-Atlas 2025",
"Key Populations","Number of HIV tests taken among people who use drugs","1090",,,,,,"2020","The Global Fund",
"Key Populations","HIV prevalence among transgender people","2.8",,,,,,"2023","UNAIDS KP-Atlas 2025","Source: Behavioral surveillance survey, 2023"
"Key Populations","HIV testing and status awareness among transgender people","29.1",,,,,,"2023","UNAIDS KP-Atlas 2025","Source: Behavioral surveillance survey, 2023"
"Key Populations","Number of HIV tests taken among transgender population","38287",,,,,,"2023","The Global Fund",
"Key Populations","HIV prevalence among prisoners","0.4",,,,,,"2023","UNAIDS KP-Atlas 2025","Source: HIV Tests conducted by jails, prisons and other closed settings, 2023"
"Population Groups","HIV population (15+) Female","15288.3452","12944.68335","17864.23136",,"Female","15+","2024","Spectrum estimates 2025 (UNAIDS/WHO)",
"Population Groups","Percent of people living with HIV who know their status","47.846904974385325","40.51210422472472","55.90848251617649",,"Females","15+","2024","Spectrum estimates 2025 (UNAIDS/WHO)",
"Population Groups","Adult prevalence (15+) (Percent) Female","0.03581","0.03032","0.04184",,"Female","15+","2024","Spectrum estimates 2025 (UNAIDS/WHO)",
"Population Groups","New HIV infections (15+) Female","2438.85618","1973.47401","2952.32397",,"Female","15+","2024","Spectrum estimates 2025 (UNAIDS/WHO)",
"Population Groups","Den Age-Female Gte 15","582117",,,"validated","Females","15+","2024","Global AIDS Monitoring 2025","582117"
"Population Groups","Women ever receiving an HIV test","10",,,,"Females","15-49","2022","The DHS Program","2022 DHS"
"Population Groups","Undiagnosed PLHIV","7973.345199999999",,,,"Females","15+","2024","(calculated)","based on the estimated PLHIV and % aware data values"
"Population Groups","HIV population (15+) Male","201084.4002","166277.3337","233108.065",,"Male","15+","2024","Spectrum estimates 2025 (UNAIDS/WHO)",
"Population Groups","Percent of people living with HIV who know their status","63.34007007670404","52.376106541827674","73.42728306088596",,"Males","15+","2024","Spectrum estimates 2025 (UNAIDS/WHO)",
"Population Groups","Adult prevalence (15+) (Percent) Male","0.48174","0.39839","0.55859",,"Male","15+","2024","Spectrum estimates 2025 (UNAIDS/WHO)",
"Population Groups","New HIV infections (15+) Male","28045.43974","23107.83029","32520.11376",,"Male","15+","2024","Spectrum estimates 2025 (UNAIDS/WHO)",
"Population Groups","Den Age-Male Gte 15","529056",,,"validated","Males","15+","2024","Global AIDS Monitoring 2025","529056"
"Population Groups","Undiagnosed PLHIV","73717.4002",,,,"Males","15+","2024","(calculated)","based on the estimated PLHIV and % aware data values"
